rule-id,rule-name,rule-action,rule-type,schema-name,table-name
94,94,include,selection,OPS$COMMERCE,PROCESSOR_CODEMAPS_ARC
95,95,include,selection,OPS$COMMERCE,PRODUCTS
96,96,include,selection,OPS$COMMERCE,PRODUCTS_ARC
97,97,include,selection,OPS$COMMERCE,PROMOTIONS
98,98,include,selection,OPS$COMMERCE,PROMOTIONS_ARC
99,99,include,selection,OPS$COMMERCE,PROPERTIES
100,100,include,selection,OPS$COMMERCE,PSI_DBA_PURGECC
101,101,include,selection,OPS$COMMERCE,PSI_DBA_PURGECC_BACKUP
102,102,include,selection,OPS$COMMERCE,RATES
103,103,include,selection,OPS$COMMERCE,RATES_ARC
104,104,include,selection,OPS$COMMERCE,RPT_GL_BATCHES
105,105,include,selection,OPS$COMMERCE,RPT_GL_INVOICE_ITEMS
106,106,include,selection,OPS$COMMERCE,RPT_GL_ITEMS
107,107,include,selection,OPS$COMMERCE,RPT_GL_LINES
108,108,include,selection,OPS$COMMERCE,RPT_GL_LINES_EXCEP
109,109,include,selection,OPS$COMMERCE,RPT_GL_LOGS
110,110,include,selection,OPS$COMMERCE,RPT_GL_P2_LINES
111,111,include,selection,OPS$COMMERCE,RPT_GL_TESTS
112,112,include,selection,OPS$COMMERCE,SELFSERVE_PAYOUT_APPS
113,113,include,selection,OPS$COMMERCE,SELFSERVE_PAYOUT_APPS_USERS
114,114,include,selection,OPS$COMMERCE,SETTLEMENT_AUDIT
115,115,include,selection,OPS$COMMERCE,SETTLEMENT_AUDIT_TRAIL
116,116,include,selection,OPS$COMMERCE,SETTLEMENT_PAYIN_REQUESTS
117,117,include,selection,OPS$COMMERCE,SETTLEMENT_SCHEDULE
118,118,include,selection,OPS$COMMERCE,SETTLEMENT_SCHEDULE_MID
119,119,include,selection,OPS$COMMERCE,STATE_REGION
120,120,include,selection,OPS$COMMERCE,STG_CUSTOMERS
121,121,include,selection,OPS$COMMERCE,STG_FILE_IMPORT_PI
122,122,include,selection,OPS$COMMERCE,STG_PAYMENT_ACCOUNTS
123,123,include,selection,OPS$COMMERCE,STG_WALLET
124,124,include,selection,OPS$COMMERCE,TOS
125,125,include,selection,OPS$COMMERCE,TOS_VERSIONS
126,126,include,selection,OPS$COMMERCE,VAT_CODES
127,127,include,selection,OPS$COMMERCE,VAT_COUNTRY_GROUPS
128,128,include,selection,OPS$COMMERCE,VAT_RATES
129,129,include,selection,OPS$COMMERCE,VAT_TYPE_BOOK_CTRY_MAP
130,130,include,selection,OPS$COMMERCE,WALLETS
131,131,include,selection,OPS$COMMERCE,WALLET_EVENTS
132,132,include,selection,OPS$COMMERCE,WALLET_LASTREQS
133,133,include,selection,OPS$COMMERCE,WHITE_LISTS
